label,address,range_width,rebalance,capital_usd,pool_share,days,total_rebalances,total_fees_usd,il_usd,net_pnl_usd,net_pct,fee_apy_pct,days_in_range_pct,realized_vol,sharpe,sortino,max_drawdown
JLP/USDC,6NUiVmsNjsi4AfsMsEiaezsaV9N4N1ZrD4jEnuWNRvyb,0.0500,false,10000.00,0.299314,151,0,22962.5218,-822.3752,22140.1466,221.4015,555.0543,14.57,0.411550,9.187891,100.064914,-0.012266
JLP/USDC,6NUiVmsNjsi4AfsMsEiaezsaV9N4N1ZrD4jEnuWNRvyb,0.0500,true,10000.00,0.299314,151,16,22962.5218,-3361.1019,19601.4200,196.0142,555.0543,89.40,0.411550,8.564368,136.793719,-0.009988
JLP/USDC,6NUiVmsNjsi4AfsMsEiaezsaV9N4N1ZrD4jEnuWNRvyb,0.1000,false,10000.00,0.151392,151,0,11614.3955,-706.6461,10907.7494,109.0775,280.7453,23.18,0.411550,8.384035,32.091555,-0.027346
JLP/USDC,6NUiVmsNjsi4AfsMsEiaezsaV9N4N1ZrD4jEnuWNRvyb,0.1000,true,10000.00,0.151392,151,3,11614.3955,-1229.9771,10384.4184,103.8442,280.7453,98.01,0.411550,8.710722,54.214029,-0.019959
JLP/USDC,6NUiVmsNjsi4AfsMsEiaezsaV9N4N1ZrD4jEnuWNRvyb,0.2000,false,10000.00,0.076826,151,0,5893.8954,-438.4919,5455.4035,54.5540,142.4683,90.07,0.411550,6.424749,13.856515,-0.040084
JLP/USDC,6NUiVmsNjsi4AfsMsEiaezsaV9N4N1ZrD4jEnuWNRvyb,0.2000,true,10000.00,0.076826,151,2,5893.8954,-1503.2218,4390.6736,43.9067,142.4683,98.68,0.411550,6.483713,15.070940,-0.043364
JLP/USDC,6NUiVmsNjsi4AfsMsEiaezsaV9N4N1ZrD4jEnuWNRvyb,0.5000,false,10000.00,0.031087,151,0,2384.8714,-175.2243,2209.6471,22.0965,57.6476,100.00,0.411550,6.017675,12.258795,-0.020806
JLP/USDC,6NUiVmsNjsi4AfsMsEiaezsaV9N4N1ZrD4jEnuWNRvyb,0.5000,true,10000.00,0.031087,151,0,2384.8714,-175.2243,2209.6471,22.0965,57.6476,100.00,0.411550,6.017675,12.258795,-0.020806
cbBTC/USDC,HxA6SKW5qA4o12fjVgTpXdq2YnZ5Zv1s7SB4FFomsyLM,0.0500,false,10000.00,0.003519,151,0,2280.7377,-815.4870,1465.2506,14.6525,55.1304,13.91,0.509196,1.406320,2.132821,-0.140659
cbBTC/USDC,HxA6SKW5qA4o12fjVgTpXdq2YnZ5Zv1s7SB4FFomsyLM,0.0500,true,10000.00,0.003519,151,17,2280.7377,-3811.2880,-1530.5503,-15.3055,55.1304,88.74,0.509196,-2.428988,-2.595777,-0.178122
cbBTC/USDC,HxA6SKW5qA4o12fjVgTpXdq2YnZ5Zv1s7SB4FFomsyLM,0.1000,false,10000.00,0.001778,151,0,1152.4400,-699.5224,452.9175,4.5292,27.8570,25.83,0.509196,0.533120,0.778678,-0.142508
cbBTC/USDC,HxA6SKW5qA4o12fjVgTpXdq2YnZ5Zv1s7SB4FFomsyLM,0.1000,true,10000.00,0.001778,151,4,1152.4400,-1985.5017,-833.0617,-8.3306,27.8570,97.35,0.509196,-1.186734,-1.309366,-0.158123
cbBTC/USDC,HxA6SKW5qA4o12fjVgTpXdq2YnZ5Zv1s7SB4FFomsyLM,0.2000,false,10000.00,0.000902,151,0,584.2578,-432.1922,152.0656,1.5207,14.1228,65.56,0.509196,0.269703,0.392391,-0.125100
cbBTC/USDC,HxA6SKW5qA4o12fjVgTpXdq2YnZ5Zv1s7SB4FFomsyLM,0.2000,true,10000.00,0.000902,151,2,584.2578,-1873.8168,-1289.5590,-12.8956,14.1228,98.68,0.509196,-1.874742,-2.019235,-0.148149
cbBTC/USDC,HxA6SKW5qA4o12fjVgTpXdq2YnZ5Zv1s7SB4FFomsyLM,0.5000,false,10000.00,0.000365,151,0,236.3730,-172.7219,63.6511,0.6365,5.7137,100.00,0.509196,0.188167,0.270880,-0.056847
cbBTC/USDC,HxA6SKW5qA4o12fjVgTpXdq2YnZ5Zv1s7SB4FFomsyLM,0.5000,true,10000.00,0.000365,151,0,236.3730,-172.7219,63.6511,0.6365,5.7137,100.00,0.509196,0.188167,0.270880,-0.056847
SOL/USDC,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,0.0500,false,10000.00,0.001138,151,0,9141.7393,-2056.6551,7085.0843,70.8508,220.9758,6.62,0.666176,4.974878,9.003245,-0.117306
SOL/USDC,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,0.0500,true,10000.00,0.001138,151,31,9141.7393,-7069.9059,2071.8334,20.7183,220.9758,79.47,0.666176,2.558125,3.237903,-0.141019
SOL/USDC,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,0.1000,false,10000.00,0.000575,151,0,4619.2548,-1979.4562,2639.7985,26.3980,111.6575,15.89,0.666176,1.976554,3.057931,-0.162971
SOL/USDC,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,0.1000,true,10000.00,0.000575,151,12,4619.2548,-4875.7508,-256.4961,-2.5650,111.6575,92.05,0.666176,-0.210570,-0.247132,-0.229638
SOL/USDC,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,0.2000,false,10000.00,0.000291,151,0,2341.8461,-1777.2209,564.6252,5.6463,56.6075,21.19,0.666176,0.557791,0.817728,-0.174483
SOL/USDC,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,0.2000,true,10000.00,0.000291,151,3,2341.8461,-2347.4525,-5.6064,-0.0561,56.6075,98.01,0.666176,0.085053,0.105046,-0.131505
SOL/USDC,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,0.5000,false,10000.00,0.000118,151,0,947.4413,-909.9193,37.5220,0.3752,22.9017,100.00,0.666176,0.154046,0.224695,-0.102536
SOL/USDC,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,0.5000,true,10000.00,0.000118,151,0,947.4413,-909.9193,37.5220,0.3752,22.9017,100.00,0.666176,0.154046,0.224695,-0.102536
